size,list,IC,Cycles,CPI,CT,ET,L1_dcache_miss_rate,L1_dcache_misses,L1_dcache_accesses,branches,branch_misses
1024,list,216064,269656,1.248038,0.886314,0.000239,0.002518,140,55605,53190,130
1024,array,255575,60423,0.236420,0.794399,0.000048,0.001673,93,55598,15099,40
